GroupName, GroupOrder, E(G)value, E(G)value_decimal
S170,340,5846/113,51.73451327433628
S171,342,21264/341,62.357771260997069
S172,344,20220/343,58.950437317784257
S173,346,10034/115,87.252173913043478
S174,348,17420/347,50.201729106628243
S175,350,22752/349,65.191977077363902
S176,352,716/13,55.07692307692308
S177,354,24314/353,68.87818696883852
S178,356,23854/355,67.194366197183101
S179,358,10740/119,90.252100840336141
S180,360,14450/359,40.250696378830085
S181,362,32942/361,91.252077562326875
S182,364,6872/121,56.793388429752063
S183,366,25992/365,71.210958904109589
S184,368,22168/367,60.403269754768395
S185,370,9454/123,76.861788617886177
S186,372,2846/53,53.698113207547166
S187,374,30676/373,82.241286863270773
S188,376,8056/125,64.447999999999993
S189,378,23898/377,63.389920424403186
S190,380,21988/379,58.015831134564642
S191,382,12224/127,96.251968503937007
S192,384,19500/383,50.913838120104437
S193,386,37442/385,97.251948051948048
S194,388,9442/129,73.193798449612402
S195,390,23468/389,60.329048843187664
S196,392,23502/391,60.107416879795394
S197,394,13002/131,99.251908396946561
S198,396,20708/395,52.425316455696205
S199,398,39800/397,100.25188916876574
S200,400,22802/399,57.147869674185465
S201,402,31362/401,78.209476309226929
S202,404,2362/31,76.193548387096769
S203,406,11788/135,87.318518518518516
S204,408,1948/37,52.648648648648646
S205,410,34870/409,85.256723716381416
S206,412,10644/137,77.693430656934311
S207,414,31340/413,75.883777239709445
S208,416,27262/415,65.691566265060246
S209,418,12830/139,92.302158273381295
S210,420,19382/419,46.25775656324582
S211,422,44732/421,106.25178147268409
S212,424,10250/141,72.695035460992912
S213,426,35222/425,82.875294117647059
S214,428,34456/427,80.693208430913344
S215,430,984/11,89.454545454545453
S216,432,23952/431,55.573085846867748
S217,434,40466/433,93.454965357967666
S218,436,11918/145,82.193103448275863
S219,438,37236/437,85.208237986270021
S220,440,26080/439,59.407744874715263
S221,442,2062/21,98.19047619047619
S222,444,28436/443,64.189616252821665
S223,446,49952/445,112.25168539325843
S224,448,29816/447,66.702460850111862
S225,450,32230/449,71.781737193763917
S226,452,38422/451,85.192904656319286
S227,454,17252/151,114.25165562913908
S228,456,3838/65,59.04615384615385
S229,458,52670/457,115.25164113785559
S230,460,1200/17,70.588235294117652
S231,462,33872/461,73.475054229934926
S232,464,35422/463,76.505399568034562
S233,466,18174/155,117.2516129032258
S234,468,29198/467,62.522483940042825
S235,470,6556/67,97.850746268656721
S236,472,12708/157,80.942675159235662
S237,474,43614/473,92.207188160676537
S238,476,35692/475,75.141052631578944
S239,478,19120/159,120.25157232704403
S240,480,25616/479,53.478079331941544
S241,482,58322/481,121.25155925155926
S242,484,13582/161,84.360248447204967
S243,486,44772/485,92.313402061855669
S244,488,40758/487,83.691991786447645
S245,490,14870/163,91.226993865030678
S246,492,34952/491,71.185336048879833
S247,494,54344/493,110.23123732251521
S248,496,40528/495,81.87474747474748
S249,498,6878/71,96.873239436619713
S250,500,39562/499,79.282565130260522
S251,502,21084/167,126.25149700598803
S252,504,29356/503,58.361829025844933
S253,506,56782/505,112.43960396039604
S254,508,1244/13,95.692307692307693
S255,510,40640/509,79.842829076620831
S256,512,44202/511,86.500978473581213
S257,514,22102/171,129.2514619883041
S258,516,38462/515,74.68349514563107
S259,518,57836/517,111.86847195357834
S260,520,12262/173,70.878612716763001
S261,522,50114/521,96.188099808061423
S262,524,51616/523,98.692160611854689
S263,526,23144/175,132.25142857142856
S264,528,33938/527,64.398481973434542
S265,530,58426/529,110.4461247637051
S266,532,14926/177,84.327683615819211
S267,534,55364/533,103.87242026266416
S268,536,49188/535,91.94018691588785
S269,538,24210/179,135.2513966480447
S270,540,5000/77,64.935064935064929
S271,542,73712/541,136.25138632162663
