GroupName, GroupOrder, AvgElementOrder, isElemAbel2
((C4 x C2 x C2) : C2) : C2, 64, 215/64, true
(C4 : Q8) : C2, 64, 231/64, true
(C2 x C2) . (C2 x C2 x C2 x C2), 64, 247/64, true
C2 x C2 x D16, 64, 239/64, true
C2 x C2 x QD16, 64, 271/64, true
C2 x C2 x Q16, 64, 303/64, true
C2 x ((C8 x C2) : C2), 64, 271/64, true
C2 x (C8 : (C2 x C2)), 64, 255/64, true
C2 x ((C2 x Q8) : C2), 64, 287/64, true
((C8 x C2) : C2) : C2, 64, 271/64, true
(C2 x D16) : C2, 64, 255/64, true
(C2 x QD16) : C2, 64, 271/64, true
(C2 x Q16) : C2, 64, 287/64, true
C4 x C2 x C2 x C2 x C2, 64, 191/64, true
C2 x C2 x C2 x D8, 64, 159/64, true
C2 x C2 x C2 x Q8, 64, 223/64, true
C2 x C2 x ((C4 x C2) : C2), 64, 191/64, true
C2 x ((C2 x C2 x C2) : (C2 x C2)), 64, 175/64, true
C2 x ((C2 x Q8) : C2), 64, 207/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64, true
C2 x C2 x C2 x C2 x C2 x C2, 64, 127/64, true
(C6 x S3) : C2, 72, 35/8, true
C2 x ((C3 x C3) : C4), 72, 319/72, true
(C6 x C6) : C2, 72, 283/72, true
(S3 x S3) : C2, 72, 283/72, true
(C3 x C3) : Q8, 72, 259/72, true
(C3 x A4) : C2, 72, 229/72, true
A4 x S3, 72, 289/72, true
C2 x ((C3 x C3) : C4), 72, 85/24, true
C2 x S3 x S3, 72, 31/8, true
C6 x A4, 72, 107/24, true
C2 x C2 x ((C3 x C3) : C2), 72, 247/72, true
(C5 x C5) : C3, 75, 271/75, true
(C10 x C2) : C4, 80, 347/80, true
(C2 x C2 x C2 x C2) : C5, 80, 351/80, true
C2 x C2 x (C5 : C4), 80, 347/80, true
(C9 x C3) : C3, 81, 349/81, true
C3 x ((C3 x C3) : C3), 81, 241/81, true
C3 x C3 x C3 x C3, 81, 241/81, true
((C4 x C2) : C4) : C3, 96, 133/32, true
((C4 x C4) : C3) : C2, 96, 415/96, true
C2 x ((C4 x C4) : C3), 96, 133/32, true
((C2 x C2 x C2 x C2) : C2) : C3, 96, 125/32, true
((C4 x C4) : C2) : C3, 96, 133/32, true
((C4 x C4) : C2) : C3, 96, 125/32, true
C3 : ((C2 x C2 x C2 x C2) : C2), 96, 449/96, true
C3 : ((C2 x C2 x C2 x C2) : C2), 96, 139/32, true
C3 : ((C4 x C2 x C2) : C2), 96, 147/32, true
C3 : ((C4 x C2 x C2) : C2), 96, 147/32, true
C3 : ((C4 x C4) : C2), 96, 139/32, true
C2 x ((C6 x C2) : C4), 96, 409/96, true
C3 : ((C2 x C2 x C2 x C2) : C2), 96, 385/96, true
(C4 x A4) : C2, 96, 455/96, true
C2 x (A4 : C4), 96, 391/96, true
(C2 x C2 x A4) : C2, 96, 367/96, true
(C2 x C2 x Q8) : C3, 96, 133/32, true
((C2 x C2 x C2) : (C2 x C2)) : C3, 96, 125/32, true
C2 x C2 x D24, 96, 425/96, true
C2 x D8 x S3, 96, 131/32, true
C2 x ((C4 x S3) : C2), 96, 147/32, true
C3 : ((C2 x C2 x C2) : (C2 x C2)), 96, 139/32, true
C3 : ((C2 x C2 x C2) : (C2 x C2)), 96, 449/96, true
C2 x C2 x C2 x (C3 : C4), 96, 409/96, true
C2 x C2 x ((C6 x C2) : C2), 96, 361/96, true
C2 x C2 x S4, 96, 343/96, true
((C2 x C2 x C2 x C2) : C3) : C2, 96, 295/96, true
C2 x C2 x C2 x A4, 96, 141/32, true
C2 x ((C2 x C2 x C2 x C2) : C3), 96, 117/32, true
C2 x C2 x C2 x C2 x S3, 96, 313/96, true
C6 x C2 x C2 x C2 x C2, 96, 147/32, true
(C7 x C7) : C2, 98, 435/98, true
(C5 x C5) : C4, 100, 371/100, true
(C5 x C5) : C4, 100, 371/100, true
C2 x ((C5 x C5) : C2), 100, 463/100, true
((C3 x C3) : C3) : (C2 x C2), 108, 457/108, true
(C2 x C2) : ((C3 x C3) : C3), 108, 391/108, true
C2 x ((C3 x C3) : C6), 108, 163/36, true
C2 x (((C3 x C3) : C3) : C2), 108, 163/36, true
(C3 x C3 x C3) : C4, 108, 151/36, true
(C3 x C3 x C3) : C4, 108, 421/108, true
C3 x S3 x S3, 108, 505/108, true
((C3 x C3) : C2) x S3, 108, 409/108, true
(C3 x C3 x C3) : (C2 x C2), 108, 457/108, true
C3 x C3 x A4, 108, 391/108, true
C6 x ((C3 x C3) : C2), 108, 163/36, true
C2 x ((C3 x C3 x C3) : C2), 108, 115/36, true
S5, 120, 157/40, false
((C4 x C2) : C4) : C4, 128, 607/128, true
((C4 x C2) : C4) : C4, 128, 607/128, true
(C2 x (C4 : C4)) : C4, 128, 607/128, true
(C2 x (C8 : C2)) : C4, 128, 607/128, true
(C2 x ((C4 x C2) : C2)) : C4, 128, 447/128, true
(((C8 x C2) : C2) : C2) : C2, 128, 575/128, true
(C2 x (C4 : C4)) : C4, 128, 607/128, true
((C4 x C2) : C4) : C4, 128, 607/128, true
((C4 x C2) : C4) : C4, 128, 607/128, true
((C2 x C2 x C2) : C4) : C4, 128, 591/128, true
((C2 x C2 x C2) : C4) : C4, 128, 607/128, true
((C2 x C2 x C2) : C4) : C4, 128, 463/128, true
(((C2 x C2 x C2) : C4) : C2) : C2, 128, 503/128, true
(C4 : Q8) : C4, 128, 535/128, true
((C2 x C2) . (C2 x C2 x C2)) : C4, 128, 535/128, true
C4 x ((C4 x C2) : C4), 128, 479/128, true
(C2 x ((C4 x C2) : C4)) : C2, 128, 447/128, true
((C4 x C2) : C4) : C4, 128, 479/128, true
(C2 x (C4 : C4)) : C4, 128, 479/128, true
(C2 x (C4 : C4)) : C4, 128, 479/128, true
(C2 x ((C4 x C2) : C4)) : C2, 128, 447/128, true
(C2 x C2 x ((C4 x C2) : C2)) : C2, 128, 415/128, true
(C2 x ((C4 x C2) : C4)) : C2, 128, 447/128, true
(C2 x ((C4 x C2) : C4)) : C2, 128, 447/128, true
(C2 x (C4 : C4)) : C4, 128, 479/128, true
((C4 x C2) : C4) : C4, 128, 479/128, true
((C4 x C2) : C4) : C4, 128, 479/128, true
((C4 x C2) : C4) : C4, 128, 479/128, true
(C2 x (C4 : C4)) : C4, 128, 479/128, true
(C2 x C2 x Q8) : C4, 128, 479/128, true
C2 x (((C8 x C2) : C2) : C2), 128, 575/128, true
C2 x ((C4 : C4) : C4), 128, 607/128, true
((C4 x C4) : C4) : C2, 128, 607/128, true
(C4 x ((C4 x C2) : C2)) : C2, 128, 591/128, true
(C4 x (C4 : C4)) : C2, 128, 591/128, true
(C2 x ((C4 x C2) : C4)) : C2, 128, 591/128, true
((C4 x C4) : C4) : C2, 128, 591/128, true
(C4 x ((C4 x C2) : C2)) : C2, 128, 575/128, true
((C2 x Q8) : C4) : C2, 128, 607/128, true
(C4 x (C4 : C4)) : C2, 128, 607/128, true
(((C4 x C2) : C4) : C2) : C2, 128, 575/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
((C4 x C4) : C4) : C2, 128, 607/128, true
(((C4 x C2) : C4) : C2) : C2, 128, 591/128, true
((C4 x C4) : C4) : C2, 128, 591/128, true
(((C4 x C2) : C4) : C2) : C2, 128, 591/128, true
((C4 x C4) : C4) : C2, 128, 591/128, true
(((C4 x C2) : C4) : C2) : C2, 128, 575/128, true
((C2 x Q8) : C4) : C2, 128, 607/128, true
((C4 x C4) : C4) : C2, 128, 607/128, true
((C2 x C2 x D8) : C2) : C2, 128, 543/128, true
(((C8 x C2) : C2) : C2) : C2, 128, 575/128, true
((C2 x ((C4 x C2) : C2)) : C2) : C2, 128, 575/128, true
((C2 x ((C4 x C2) : C2)) : C2) : C2, 128, 559/128, true
(((C2 x C2) . (C2 x C2 x C2)) : C2) : C2, 128, 591/128, true
((C2 x C2 x D8) : C2) : C2, 128, 559/128, true
((C2 x C2 x Q8) : C2) : C2, 128, 575/128, true
((Q8 : C4) : C2) : C2, 128, 607/128, true
((C4 x C2) : Q8) : C2, 128, 607/128, true
((C4 x C2) : Q8) : C2, 128, 591/128, true
((C2 x C2 x Q8) : C2) : C2, 128, 591/128, true
((C2 x (C4 : C4)) : C2) : C2, 128, 575/128, true
((C8 : C4) : C2) : C2, 128, 607/128, true
((C2 x C2 x C2) . (C2 x C2 x C2)) : C2, 128, 607/128, true
((C2 x C2 x C2) . (C2 x C2 x C2)) : C2, 128, 591/128, true
((C2 x (C4 : C4)) : C2) : C2, 128, 591/128, true
((C2 x (C4 : C4)) : C2) : C2, 128, 575/128, true
((C8 : C4) : C2) : C2, 128, 607/128, true
((C2 x C2 x C2) . (C2 x C2 x C2)) : C2, 128, 607/128, true
((C2 x C2 x C2) . (C2 x C2 x C2)) : C2, 128, 591/128, true
((C2 x (C4 : C4)) : C2) : C2, 128, 591/128, true
(((C4 x C4) : C2) : C2) : C2, 128, 599/128, true
(((C4 x C4) : C2) : C2) : C2, 128, 567/128, true
(((C4 x C4) : C2) : C2) : C2, 128, 599/128, true
C2 x ((C4 x C4) : C4), 128, 607/128, true
C2 x ((C4 : C4) : C4), 128, 607/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
C2 x ((C4 : C4) : C4), 128, 607/128, true
